CODEN	ISSN	Serial Title	Publisher Name	
NDTIEH	0963-8695	NDT & E International	Elsevier Science Ltd	
NECGEZ	0285-4139	NEC Giho /NEC Technical Journal	NEC Culture Cent Ltd	
NECRAU	0547-051X	NEC Research & Development	NEC Creative Ltd.	
NEFTAH	0028-2421	Neftekhimiya	Mezhdunarodnaya Kniga	
NEGOEB	1000-0925	Neiranji Gongcheng/Chinese Internal Combustion Engine Engineering	Chinese Soc for Internal Combustion Engines	
NEXUEC	1000-0909	Neiranji Xuebao/Transactions of CSICE (Chinese Society for Internal   Combustion Engines)	Chinese Soc for Internal Combustion Engines	
NETMAW	0028-2928	Netherlands Journal of Agricultural Science	Royal Netherlands Society for Agricultural Science	
NCONFZ	1076-3422	NetWare Connection	"NetWare Users International, Inc."	
NJGMA2	0028-3630	"Neues Jahrbuch fuer Geologie und Palaeontologie, Monatshefte"	E. Schweizerbart'sche Verlagsbuchhandlung	
NJMMAW	0028-3649	Neues Jahrbuch fuer Mineralogie. Monatshefte	E. Schweizerbart'sche Verlagsbuchhandlung	
NEUCEB	0899-7667	Neural Computation	MIT Press	
NNWOFJ	1210-0552	Neural Network World	Inst Comput Sci	
NNETEB	0893-6080	Neural Networks	Elsevier Science Ltd	
85QHAU	1089-3555	Neural Networks for Signal Processing - Proceedings of the IEEE  Workshop	IEEE	
NPLEFG	1370-4621	Neural Processing Letters	Kluwer Academic Publishers	
NRCGEO	0925-2312	Neurocomputing	Elsevier Science B.V.	
NEWAST	1384-1076	New Astronomy	Elsevier Science B.V.	
NWELAC	0047-9624	New Electronics	Findlay Publ Ltd	
002996	0162-8771	New England Printer & Publisher	New Engl Print & Publ	
NEFOE6	0169-4286	New Forests	Kluwer Academic Publishers	
NGCOE5	0288-3635	New Generation Computing	Ohmsha Ltd	
NJCHE5	1144-0546	New Journal of Chemistry	Gauthier-Villars	
NPMAE8	0169-6424	New Polymeric Materials	VSP BV	
NRESF3	1361-0244	New Review of Applied Expert Systems	Taylor Graham Publ	
NRHMFY	1361-4568	New Review of Hypermedia and Multimedia	Taylor Graham Publ	
NRINF8	1361-4576	New Review of Information Networking	Taylor Graham Publ	
NWSCAL	0262-4079	New Scientist	Reed Bus Inf Ltd	
001834	0385-6542	New Technology Japan	Japan External Trade Organization	
NZENA5	0028-808X	New Zealand Engineering	Inst Prof Eng New Zealand	
NZFOEH	0112-9597	New Zealand Forestry: Journal of the N.Z. Institute of Foresters Inc.	New Zealand Inst Forestry	
NEZFA7	0028-8233	New Zealand Journal of Agricultural Research	SIR Publ	
NZFSAP	0048-0134	New Zealand Journal of Forestry Science	Forest Res Inst	
NZJMBS	0028-8330	New Zealand Journal of Marine and Freshwater Research	SIR Publ	
NZPIFG	1172-9937	New Zealand Pine International	Neilson Publ Ltd	
002991	0019-333X	Newspaper Techniques	I F R A	
002908	1052-5572	Newspapers & Technology	Conley Magaz	
NHKLA5	0027-657X	NHK Laboratories Note	NHK Sci Tech Res Lab	
NENGEM	0916-8753	Nihon Enerugi Gakkaishi/Journal of the Japan Institute of Energy	Maruzen Co Ltd	
NIRKAA	0021-485X	Nihon Ringakkai Shi/Journal of the Japanese Forestry Society	Nihon Ringakkai	
NZGRDU	0514-8499	Nihon Zosen Gakkai Ronbunshu/Journal of the Society of Naval Architects of   Japan	Soc of Naval Architects of Japan	
NESGDC	0287-3516	"Nippon Eiyo Shokuryo Gakkaishi/Japanese Society of Nutrition and Food   Science, Journal"	Do Gakkai	
NGEGAL	0004-7120	Nippon Genshiryoku Gakkaishi/Journal of the Atomic Energy Society of Japan	Atomic Energy Soc of Japan	
NKAKB8	0369-4577	Nippon Kagakukai Shi/Chemical Society of Japan. Chemistry and Industrial   Chemistry. Journal	Nippon Kagakkai	
NKGADA	0387-5008	"Nippon Kikai Gakkai Ronbunshu, A Hen/Transactions of the Japan Society of   Mechanical Engineers, Part A"	JSME	
NKGBDD	0387-5016	"Nippon Kikai Gakkai Ronbunshu, B Hen/Transactions of the Japan Society of   Mechanical Engineers, Part B"	JSME	
NKCHDB	0387-5024	"Nippon Kikai Gakkai Ronbunshu, C Hen/Transactions of the Japan Society of   Mechanical Engineers, Part C"	JSME	
NIKGAV	0021-4876	Nippon Kinzoku Gakkaishi/Journal of the Japan Institute of Metals	Japan Inst of Metals	
NSKRE2	0914-5400	Nippon Seramikkusu Kyokai Gakujutsu Ronbunshi/Journal of the Ceramic Society   of Japan	Ceramic Soc of Japan	
NSKGAX	0029-0394	Nippon Shokuhan Kogyo Gakkaishi/Journal of Japanese Society of Food Science   and Technology	Japanese Soc Food Sci Technol	
NSTTDI	0300-306X	Nippon Steel Technical Report	Nippon Steel Corp	
NIYAFK	0468-155x	Nisha Yanjiu/Journal of Sediment Research	Water Resources & Electric Power Press	
NBSSES	1049-7579	NIST Building Science Series	Natl Inst of Standards & Technology	
NNNNAY	0029-0777	Nitrogen	Br Sulphur Publ	
NTERED	0915-0544	NKK Technical Review	NKK Corp	
NLGIA4	0027-6782	NLGI Spokesman (National Lubricating Grease Institute)	Natl Lubricating Grease Inst	
NMRBEF	0952-3480	NMR in Biomedicine	John Wiley & Sons Ltd	
NOINEK	0960-4405	No-Dig International	Mining Journal Ltd	
NVWOE6	0957-4565	Noise and Vibration Worldwide	"Multi-Science Publishing Co, Ltd"	
NCEJD5	0736-2501	Noise Control Engineering Journal	Inst Noise Control Eng	
NTAUDZ	0157-6461	Non-Destructive Testing - Australia	Aust Inst Non-destructive Test	
NTEVEP	1058-9759	Nondestructive Testing and Evaluation	Gordon & Breach Science Publ Inc	
NGOXEO	1002-6819	Nongye Gongcheng Xuebao/Transactions of the Chinese Society of Agricultural   Engineering	Chinese Soc Agric Eng	
NUYCA3	1000-1298	Nongye Jixie Xuebao/Transactions of the Chinese Society of Agricultural   Machinery	Chinese Society of Agricultural Machinery	
NOANDD	0362-546X	"Nonlinear Analysis, Theory, Methods & Applications"	Elsevier Science Ltd	
NODYES	0924-090X	Nonlinear Dynamics	Kluwer Academic Publishers	
003062		Nonwovens Industrial Textiles	ITS Publishing	
NOINDJ	0163-4429	Nonwovens Industry	Rodman Publ Corp	
002909	0953-1092	Nonwovens Report International	World Text Publ Ltd	
NOHYBB	0029-1277	Nordic Hydrology	Nordic Assoc for Hydrology	
NPPJEG	0283-2631	Nordic Pulp & Paper Research Journal	Arbor Publishing AB	
NSMREC	0284-0448	Nordic Steel and Mining Review	Bergsmannen	
NGIPBZ	0078-1193	Norges Geotekniske Institutt/Norwegian Geotechnical Institute	Norwegian Geotechnical Inst	
NEMAFY	1206-4289	Nortel Edge/Market	North Telecom Ltd	
NETEFD		Nortel Edge/Technology	North Telecom Ltd	
NCREDL		Northcon - Conference Record	IEEE	
NJAFEN	0742-6348	Northern Journal of Applied Forestry	Soc of American Foresters	
002923	0029-3156	Northern Logger and Timber Processor	NL Publ Inc	
002343		NPF/SPE European 3-D Reservoir Modelling Conference	Soc Pet Eng (SPE)	
002344		NPF/SPE European Production Operations Conference	Soc Pet Eng (SPE)	
NRACE2	0918-4597	NRIM Research Activities	Natl Research Inst for Metals	
NTQUFF	1070-3683	NTQ (New Telecom Quarterly)	Technology Futures Inc.	
NTTDEC	0915-2326	NTT R&D	NTT	
NTTREK	0915-2334	NTT Review	NTT	
NTINFM	0948-728X	"NTZ, Telekommunikation und Informationstechnik"	VDE-Verlag GmbH	
NUKOE7	1002-8501	Nuantong Kongtiao/HV & AC	China Int Book Trading Corp	
NEBSDV	0140-4067	Nuclear Energy	Thomas Telford Services Ltd	
NUEND7	0262-5091	Nuclear Engineer	Inst of Nuclear Engineers	
NEDEAU	0029-5493	Nuclear Engineering and Design	Elsevier Sequoia SA	
NEINBF	0029-5507	Nuclear Engineering International	Wilmington Bus Publ	
NUFUAU	0029-5515	Nuclear Fusion	IAEA	
NIMAER	0168-9002	"Nuclear Instruments & Methods in Physics Research, Section A: Accelerators,   Spectrometers, Detectors and Associated Equipment"	Elsevier Science B.V.	
NIMBEU	0168-583X	"Nuclear Instruments & Methods in Physics Research, Section B: Beam   Interactions with Materials and Atoms"	Elsevier Science Publishers B.V.	
NMRNBE	0305-9804	Nuclear Magnetic Resonance	Royal Soc of Chemistry	
NUPABL	0375-9474	"Nuclear Physics, Section A"	Elsevier Science B.V.	
NUPBBO	0550-3213	"Nuclear Physics, Section B"	Elsevier Science B.V.	
NPJOEZ	0892-2055	Nuclear Plant Journal	EQES Inc	
NSENAO	0029-5639	Nuclear Science and Engineering	ANS	
NSETEC	1001-8042	Nuclear Science and Techniques/Hewuli	Sci Press	
NUTYBB	0029-5450	Nuclear Technology	ANS	
NFADOL	0163-0563	Numerical Functional Analysis and Optimization	Marcel Dekker Inc	
NHBFEE	1040-7790	"Numerical Heat Transfer, Part B: Fundamentals"	Taylor & Francis Ltd	
NHAAES	1040-7782	Numerical Heat Transfer; Part A: Applications	Taylor & Francis Ltd	
NMPDEB	0749-159X	Numerical Methods for Partial Differential Equations	John Wiley & Sons Inc	
NUMMA7	0029-599X	Numerische Mathematik	Springer-Verlag GmbH & Company KG	
NUSTES	0391-6448	Nuova Selezione Tessile	Nuove Tecniche Editoriali S.r.l.	
NCSDDN	0392-6737	"Nuovo Cimento Della Societa Italiana Di Fisica. D, Condensed Matter, Atomic,   Molecular and Chemical Physics, Biophysics"	Editrice Compositori s.r.l.	
001948	0341-0390	NV/Neue Verpackung	Dr. Alfred Huethig Verlag GmbH	
002342	1055-3614	Object Magazine	"SIGS Publications, Inc."	
OCMAEU	0964-5691	Ocean and Coastal Management	Elsevier Applied Science Publ Ltd	
OCENBQ	0029-8018	Ocean Engineering (Pergamon)	Elsevier Science Ltd	
000274		Ocean Variability and Acoustic Propagation - Proc	Kluwer Academic Publishers	
OCNSDK	0197-7385	Oceans Conference Record (IEEE)	IEEE	
OCLNDT	0163-898X	OCLC Newsletter	OCLC	
003031	1074-6919	Off-Highway Engineering	SAE	
002918	0030-0284	Official Board Markets	"Advanstar Communications, Inc"	
OFSHAU	0030-0608	Offshore	PennWell Publ Co	
OFENDF	0305-876X	Offshore Engineer	Thomas Telford Services Ltd	
002136		Offshore Europe Conference - Proceedings	Soc Pet Eng (SPE)	
000229		Offshore Information Conference Papers	Heriot-Watt Univ	
000341		Offshore Operations Post Piper Alpha - Proceedings	Marine Management (Holdings) Ltd	
000875		Offshore Safety: Protection of Life and the Environment	Marine Management (Holdings) Ltd	
OSTCBA	0160-3663	"Offshore Technology Conference, Annual Proceedings"	Offshore Technol Conf	
OGJOEH	0254-4326	OGAI Journal (Oesterreichische Gesellschaft fuer Artificial Intelligence)	Austrian Soc for Artificial Intelligence	
OGNPA2	0369-7290	Ogneupory	Mezhdunarodnaya Kniga	
OJSCA9	0030-0950	Ohio Journal of Science	Ohio Academy of Science	
001093		Oholo Conference of the Israel Istitute for Biological Research	Kluwer Academic Publishers	
OIGJAV	0030-1388	Oil and Gas Journal	PennWell Publ Co	
OGEMDJ	0342-5622	Oil Gas-European Magazine	Urban Verlag	
OIREE7	0923-1730	Oilfield Review	Oilfield Review Services	
OMEGA6	0305-0483	Omega	Elsevier Science Publ Co Inc	
ONLIDN	0146-5422	"Online (Wilton, Connecticut)"	Online Inc	
ONCDEW	1353-2642	Online and CDROM Review	Learned Information Ltd	
ONUSFW		Online User	Online Inc	
OSRED8	0163-5980	Operating Systems Review (ACM)	ACM	
OPREAI	0030-364X	Operations Research	INFORMS	
ORLED5	0167-6377	Operations Research Letters	Elsevier Science Publishers B.V.	
000360		Opportunities for Consumer Waste Recycling	Prof Eng Publ Ltd	
OPAPBZ	0078-5466	Optica Applicata	Tech Univ Wroclaw	
OQELDI	0306-8919	Optical and Quantum Electronics	Kluwer Academic Publishers	
OPEGAR	0091-3286	Optical Engineering	Society of Photo-Optical Instrumentation Engineers	
000880		Optical Fibre Sensors Conference	Inst of Radio & Electronics Engineers (IREE)	
OMATET	0925-3467	Optical Materials	Elsevier Science Publishers B.V.	
OLTCAS	0030-3992	Optics and Laser Technology	Elsevier Science Ltd	
OLENDN	0143-8166	Optics and Lasers in Engineering	Elsevier Science Ltd	
OPPHEL	1047-6938	Optics and Photonics News	Optical Soc of America	
OPSUA3	0030-400X	Optics and Spectroscopy (English translation of Optika i Spektroskopiya)	Optical Soc of America	
OPCOB8	0030-4018	Optics Communications	Elsevier Science Publishers B.V.	
OPLEDP	0146-9592	Optics Letters	Optical Soc of America	
OTIKAJ	0030-4026	Optik (Jena)	Wissenschaftliche Verlagsgesellschaft	
OCAMD5	0143-2087	Optimal Control Applications & Methods	John Wiley & Sons Ltd	
OMSOE2	1055-6788	Optimization Methods and Software	Gordon & Breach Science Publ Inc	
OIDPE4	8756-6990	"Optoelectronics, Instrumentation and Data Processing (English translation of   Avtometriya)"	Allerton Press Inc	
OVSCET	1040-5488	Optometry and Vision Science	Williams & Wilkins Co	
OGREER	0169-1368	Ore Geology Reviews	Elsevier Science Publishers B.V.	
ORGEDE	0146-6380	Organic Geochemistry	Elsevier Science Ltd	
000371		Organic Substances and Sediments in Water - Proceedings	CRC Press LLC	
OGMCAQ	0301-0074	Organometallic Chemistry	Royal Society of Chemistry	
ORGND7	0276-7333	Organometallics	ACS	
003218		OSA Trends in Optics and Photonics Series	Opt Soc America	
OFMGAV		"Osnovaniya, Fundamenty i Mekhanika Gruntov"	Mezhdunarodnaya Kniga	
OXMEAF	0030-770X	Oxidation of Metals	Kluwer Academic/Plenum Publ Corp	
OZSEDS	0191-9512	Ozone: Science and Engineering	CRC Press LLC	
PCMGEP	0888-8507	P C Magazine: The Independent Guide to IBM - Standard Personal Computers	Ziff-Davis Publishing Co.	
PAJEEO	0970-3888	Pacific and Asian Journal of Energy	Tata Energy Research Inst	
002223		"Pacific Rim Conference on Lasers and Electro-Optics, CLEO - Technical Digest"	IEEE	
002203		Pacific Rim TransTech Conference Proceedings	IEEE	
002941	0895-1608	Package Printing and Converting	North Am Publ Co	
PADID5	0030-9117	Packaging Digest	Cahners Bus Inf	
PAJAEC	0288-3864	Packaging Japan	Nippon Co Ltd	
PAMAFS	0267-6117	Packaging Magazine	Miller Freeman plc	
PKGNAY	0048-2676	Packaging News	Yaffa Publ Group	
PTENEN	1067-411X	Packaging Technology & Engineering	North Am Publ Co	
PTSCEQ	0894-3214	Packaging Technology & Science	John Wiley & Sons Ltd	
001947	0030-9060	Packaging Technology in Depth	Turret RAI plc	
003157		"Packaging(Chatwood,NSW)"	Reed Bus Publ Pty Ltd	
001916	0884-3848	Paint & Coatings Industry	Business News Publishing Co	
PTRNDJ	0261-5746	Paint and Resin	Turret RAI plc	
002265	0556-4409	Paintindia	Colour Publ Pvt Ltd	
PSIRAA	0030-9885	Pakistan Journal of Scientific and Industrial Research	Pakistan Council of Scientific and Industrial Research	
PPPYAB	0031-0182	"Palaeogeography, Palaeoclimatology, Palaeoecology"	Elsevier Science B.V.	
PALAEM	0883-1351	Palaios	SEPM	
POCGEP	0883-8305	Paleoceanography	American Geophysical Union	
PCGIDY	0253-3200	Palpu Chongi Gisul/Journal of Korea Technical Association of the Pulp and   Paper Industry	Korea Tech Assoc Pulp Pap Ind	
PTTPDZ	0253-4177	Pan Tao Ti Hsueh Pao/Chinese Journal of Semiconductors	China Int Book Trading Corp	
000017		Pan-American Congress of Applied Mechanics	ASME	
PANOF7		Panorama - GEC ALSTHOM	GEC Alsthom	
PAPLA3	0031-1057	Papel (Brazil)	Assoc Tecn Bras Cel Pap	
002983	0959-9266	Paper & Packaging Analyst	Pira Int	
AAEPCZ	0145-0166	Paper - American Society of Agricultural Engineers	ASAE	
002984	0031-1081	Paper Age	Global Publ	
002994	1070-9223	Paper and Forest Products	Salomon Brothers Cen	
002985	0218-4540	Paper Asia	Asia Publ Pte Ltd	
002987	0140-1033	Paper Conservation News - United Kingdom Conservators Paper Group	Inst Pap Conserv	
002917	0309-4227	Paper Conservator: Journal of the Institute of Paper Conservation	Inst Pap Conserv	
002986	0955-7806	Paper Europe	Whitmar Publ Ltd	
002989	0950-3420	Paper Focus	Pap Publ Ltd	
003003	1048-8251	Paper Industry	Tec Times Co Ltd	
002950		Paper Market Digest	Pap Publ Ltd	
002948	1072-1223	Paper Recycler	Miller Freeman Inc	
002947	0254-3494	Paper Southern Africa	Primedia Publ.	
PATEE6	0306-252X	Paper Technology	PITA	
PFFCAT	0031-1138	"Paper, Film and Foil Converter"	Primedia Intertec	
PPWPFO		"Paper,Paperboard & Wood Pulp"	Am For Pap Assoc	
002969	0031-1227	Paperboard Packaging	"Advanstar Communications, Inc"	
003005	0299-9781	Papercast	Commun Cons Int	
PAPUAU	0031-1243	Paperi ja Puu/Paper and Timber	Finn Paper Timber J Publ Co	
PEPCD7	0734-7464	Papers - Rural Electric Power Conference	IEEE	
002946	1180-9175	PaperTree Letter	Miller Freeman plc	
PAPEFL	1042-3028	PaperTronix	IBFI	
PPTRDD	0031-1308	Papeterie	Group Act Presse	
PAERAY	0031-1340	Papier	Huethig GmbH	
POESF4		Papier Aus Osterreich	Zeitschriftenverlags Ges.m.b.H	
PKVEFJ	0048-2897	Papier Kunststoff Verarbeiter	Deutscher Fachverlag GmbH	
003004	0259-7454	Papier Und Druck	Verlagsbuchhandlung Bruedere Hollinek und Co Gmbh	
003086	0350-6614	Papir	Drustvo Inzenirjev Technikov Papirnistva Slovenije	
PCELAU	0031-1421	Papir A Celuloza	Svaz Prumyslu Papiru  Celulozy	
PAPIBT	0031-1448	Papiripar	Papir-es Nyomdaipari Mueszaki Egyesuelet	
PPDSF6		Parallel and Distributed Information Systems - Proceedings of the   International Conference	IEEE	
002161	1089-795X	"Parallel Architectures and Compilation Techniques - Conference Proceedings,   PACT"	IEEE	
PACOEJ	0167-8191	Parallel Computing	Elsevier Science B.V.	
PPLTEE	0219-6264	Parallel Processing Letters	World Scientific Publ Co	
PAKOAL	0031-1952	Parfumerie und Kosmetik	Dr. Alfred Huethig Verlag GmbH	
PPCHEZ	0934-0866	Particle & Particle Systems Characterization	Wiley-VCH Verlag GmbH	
PTCHDS	0272-6351	Particulate Science and Technology	Taylor & Francis Ltd	
PAWOEH	0950-2513	Patent World	Intellectual Property Publishing Ltd.	
PTNRA8	0031-3203	Pattern Recognition	Elsevier Science Ltd	
PRLEDG	0167-8655	Pattern Recognition Letters	Elsevier Science Publishers B.V.	
PCAIE5	0894-0711	PC AI	Knowledge Technology Inc.	
PCWDDV	0737-8939	"PC World (San Francisco, CA)"	PCW Communications Inc	
PCIJEE	0887-9672	PCI Journal	Precast/Prestressed Concrete Institute	
002332	1069-4994	PEI Power Engineering International	PennWell Publ Co	
002266		Performance Chemicals	Reed Bus Inf Ltd	
003116		Performance Computing/Unix Review	Miller Freeman Inc	
PEEVD9	0166-5316	Performance Evaluation	Elsevier Science Publishers B.V.	
PEREDN	0163-5999	Performance Evaluation Review	ACM	
PPTED8	0303-7800	Periodica Polytechnica Transportation Engineering	Technical Univ of Budapest	
PDPTAE	0324-5853	"Periodica Polytechnica, Chemical Engineering"	Technical Univ of Budapest	
PPCBAD	0553-6626	"Periodica Polytechnica, Civil Engineering"	Technical Univ of Budapest	
PPYTA7	0031-532X	"Periodica Polytechnica, Electrical Engineering"	Technical Univ of Budapest	
PPMMBT	0324-6051	"Periodica Polytechnica, Mechanical Engineering"	Technical Univ of Budapest	
PPNSEL	1216-0563	"Periodica Polytechnica, Physics and Nuclear Sciences"	Technical Univ of Budapest	
003222	1216-0555	"Periodica Polytechnica, Social and Management Sciences"	Technical Univ of Budapest	
PCWODU	0142-0232	Personal Computer World	VNU Business Publications BV	
PEGNEU	0748-0016	Personal Engineering and Instrumentation News	PEC Inc	
001733		"Perspectives in Computing (Boston, Mass)"	Academic Press Inc	
PRICDT	0275-9306	PESC Record - IEEE Annual Power Electronics Specialists Conference	IEEE	
PETEDX	0152-5425	Petrole et Techniques	Association Francaise des Techniciens du Petrole	
PTIFEJ	0990-5421	Petrole Informations	Soc d'Inf et de Documentation	
PEECDK	0306-395X	Petroleum Economist	Petroleum Economist Ltd	
PENGA6	0164-8322	Petroleum Engineer International	Hart Publ Inc	
PEFRE3	0740-1817	Petroleum Frontiers	Pet Inf/Dwights LLC.	
PETRB2	0020-3076	Petroleum Review	Inst of Petroleum (Great Britain)	
PSTEFV	1091-6466	Petroleum Science and Technology	Marcel Dekker Inc	
PTECDN	0147-8087	Pharmaceutical Technology	"Advanstar Communications, Inc"	
PHTRDP	0141-1594	Phase Transitions	Gordon & Breach Science Publ Inc	
PHJRD9	0165-5817	Philips Journal of Research	Elsevier Science Ltd	
